Date,ticker,Open,High,Low,Close,Volume,Daily_Returns_%
2023-06-26,SHIB,7.86747767e-06,7.8783573e-06,7.47552197e-06,7.55367441e-06,119079928.09,-3.990253057775317
2023-06-27,SHIB,7.55377768e-06,7.66763072e-06,7.51482416e-06,7.59452978e-06,87322118.91,0.5408675008008457
2023-06-28,SHIB,7.59569336e-06,7.59946917e-06,7.1348006e-06,7.23409738e-06,113583481.11,-4.745947549632223
2023-06-29,SHIB,7.23326498e-06,7.42298337e-06,7.21224703e-06,7.32528136e-06,84527121.5,1.260474876272677
2023-06-30,SHIB,7.32560246e-06,7.63880367e-06,7.14539745e-06,7.55956011e-06,182250101.43,3.1982218632486736
2023-07-01,SHIB,7.55906482e-06,7.72915462e-06,7.54713691e-06,7.63449229e-06,122321495.51,0.9912240779840653
2023-07-02,SHIB,7.63530952e-06,7.71345591e-06,7.48950939e-06,7.65344532e-06,106147117.52,0.248255277234688
2023-07-03,SHIB,7.65344281e-06,7.78987728e-06,7.63582136e-06,7.75675308e-06,109637206.23,1.3498203185699387
2023-07-04,SHIB,7.75690239e-06,7.84130842e-06,7.64725588e-06,7.68658157e-06,129065662.5,-0.9046505577305242
2023-07-05,SHIB,7.68764178e-06,7.73410959e-06,7.38470104e-06,7.46759306e-06,126328675.23,-2.848971392623889
2023-07-06,SHIB,7.46744708e-06,7.65976021e-06,7.1639036e-06,7.1639036e-06,127019785.09,-4.066764987860772
2023-07-07,SHIB,7.16291838e-06,7.31294677e-06,7.11522796e-06,7.31031169e-06,89254289.83,2.0436915147769463
2023-07-08,SHIB,7.30996525e-06,7.70287724e-06,7.28316173e-06,7.65310453e-06,105297233.53,4.689168595491178
2023-07-09,SHIB,7.6525182e-06,7.79290929e-06,7.60234698e-06,7.72213678e-06,133918215.23,0.9020162958626177
2023-07-10,SHIB,7.72313614e-06,7.73061859e-06,7.46277541e-06,7.54700311e-06,108325140.84,-2.2679431223439184
2023-07-11,SHIB,7.5471437e-06,7.61163349e-06,7.45386521e-06,7.52841118e-06,71224546.56,-0.246348513827499
2023-07-12,SHIB,7.52965103e-06,7.59489985e-06,7.37462371e-06,7.50840969e-06,74190581.54,-0.2656800953318772
2023-07-13,SHIB,7.50962956e-06,8.07036581e-06,7.44910054e-06,7.98771452e-06,190705228.01,6.383573217086935
2023-07-14,SHIB,7.98704213e-06,8.41408776e-06,7.70461488e-06,7.98488146e-06,255158531.61,-0.035467717241355334
2023-07-15,SHIB,7.98606256e-06,8.4837202e-06,7.93495573e-06,8.09358213e-06,223007164.62,1.3613310422268876
2023-07-16,SHIB,8.09410217e-06,8.1647481e-06,7.85372322e-06,7.86442414e-06,101419546.02,-2.831354353600657
2023-07-17,SHIB,7.8649075e-06,8.05867736e-06,7.68502149e-06,7.84763547e-06,113742787.82,-0.21347615160542954
2023-07-18,SHIB,7.8479516e-06,7.89409198e-06,7.61804577e-06,7.7090192e-06,82346646.59,-1.7663444043738208
2023-07-19,SHIB,7.70968772e-06,7.83978527e-06,7.66804184e-06,7.74483387e-06,91008468.05,0.4645814087478106
2023-07-20,SHIB,7.74510819e-06,7.79233095e-06,7.64032128e-06,7.69513373e-06,103887302.58,-0.6417198978601157
2023-07-21,SHIB,7.69501525e-06,7.97910535e-06,7.66443757e-06,7.84288697e-06,100942347.4,1.9200867091363927
2023-07-22,SHIB,7.84196895e-06,7.90292749e-06,7.72435619e-06,7.76898708e-06,75424113.22,-0.9422536660629866
2023-07-23,SHIB,7.76879749e-06,7.9007413e-06,7.7402259e-06,7.85433003e-06,59571788.48,1.098508069600257
2023-07-24,SHIB,7.85373973e-06,7.98479055e-06,7.61784888e-06,7.66396499e-06,141237810.31,-2.423695455537167
2023-07-25,SHIB,7.66481967e-06,7.93171378e-06,7.65799113e-06,7.91352905e-06,139018641.06,3.256330898244375
2023-07-26,SHIB,7.91384444e-06,7.957931e-06,7.75166058e-06,7.85337388e-06,100984129.38,-0.7601560519955419
2023-07-27,SHIB,7.85238844e-06,7.923489e-06,7.75417441e-06,7.7937754e-06,63203569.31,-0.7588901395841785
2023-07-28,SHIB,7.79375565e-06,8.40740732e-06,7.78474555e-06,8.19731376e-06,217134978.28,5.177700655833628
2023-07-29,SHIB,8.19488449e-06,8.61163356e-06,8.16045185e-06,8.53977089e-06,183879546.29,4.1776750289963305
2023-07-30,SHIB,8.54268823e-06,8.74027591e-06,8.17054903e-06,8.2852511e-06,196426980.74,-2.980405367760408
2023-07-31,SHIB,8.28521955e-06,8.68814374e-06,8.25085441e-06,8.46158121e-06,159425708.39,2.1282409895820864
2023-08-01,SHIB,8.46353388e-06,8.46353388e-06,8.20283451e-06,8.42113631e-06,129657476.83,-0.47798276700579123
2023-08-02,SHIB,8.41955457e-06,8.45634458e-06,8.13195045e-06,8.15249147e-06,114045471.99,-3.19012577531832
2023-08-03,SHIB,8.15218679e-06,8.35418272e-06,8.13561629e-06,8.27588201e-06,139049663.72,1.5135316664121712
2023-08-04,SHIB,8.27523956e-06,8.81255635e-06,8.27523956e-06,8.67245477e-06,235650075.09,4.7919093036948635
2023-08-05,SHIB,8.67424719e-06,1.03920747e-05,8.6568294e-06,9.993734e-06,875201350.0,15.23535452235054
2023-08-06,SHIB,9.99543273e-06,1.017061888e-05,9.22715049e-06,9.36951721e-06,395379562.95,-6.246081694789951
2023-08-07,SHIB,9.36896226e-06,9.43299616e-06,8.80031576e-06,8.96248672e-06,264001960.98,-4.344199182062236
2023-08-08,SHIB,8.96373881e-06,9.6429174e-06,8.87989196e-06,9.51733554e-06,328117163.62,6.190790986187356
2023-08-09,SHIB,9.51582884e-06,1.001601838e-05,9.44164033e-06,9.6149063e-06,365838102.0,1.025189871576182
2023-08-10,SHIB,9.6151954e-06,1.010721195e-05,9.58948807e-06,9.92398979e-06,315120736.43,3.21462820703724
2023-08-11,SHIB,9.92421966e-06,1.052878862e-05,9.81350666e-06,1.047864635e-05,372447514.94,5.5890480717634805
2023-08-12,SHIB,1.048722628e-05,1.126525675e-05,1.046611717e-05,1.072531819e-05,648834877.37,2.354042991440397
2023-08-13,SHIB,1.071793159e-05,1.079629395e-05,1.018332387e-05,1.025319996e-05,349928304.25,-4.4019041825741905
2023-08-14,SHIB,1.025221123e-05,1.06065984e-05,1.000773347e-05,1.021417989e-05,377239262.77,-0.3805648007668361
2023-08-15,SHIB,1.021281684e-05,1.060969747e-05,9.57115406e-06,9.92974628e-06,431101242.61,-2.784693563880436
2023-08-16,SHIB,9.93001963e-06,1.012348951e-05,9.10503704e-06,9.24021029e-06,392364803.71,-6.944145102567512
